ticket_id,timestamp,category,ticket_text
PHX-1001,2025-10-07 00:00:00,Transfer,Transaction failed but my balance was deducted. This is frustrating.
PHX-1002,2025-09-09 00:00:00,Transfer,My transfer of 5000 to my mom failed but I was debited.
PHX-1003,2025-09-18 00:00:00,Airtime/Data,"Fast and reliable service, thank you Phlex!"
PHX-1004,2025-10-18 00:00:00,Account Issue,I haven't received the airtime I purchased since yesterday.
PHX-1005,2025-09-22 00:00:00,Account Issue,My transfer of 5000 to my mom failed but I was debited.
PHX-1006,2025-09-22 00:00:00,Transfer,Customer support hasn't responded to my ticket for 3 days.
PHX-1007,2025-09-02 00:00:00,Transfer,Transaction failed but my balance was deducted. This is frustrating.
PHX-1008,2025-11-01 00:00:00,Transfer,"Great interface, but the OTP takes too long to arrive."
PHX-1009,2025-10-07 00:00:00,General Feedback,My transfer of 5000 to my mom failed but I was debited.
PHX-1010,2025-09-29 00:00:00,Transfer,"Great interface, but the OTP takes too long to arrive."
PHX-1011,2025-11-01 00:00:00,General Feedback,Double debit on my Netflix subscription. Please refund.
PHX-1012,2025-08-18 00:00:00,Account Issue,The app keeps crashing when I try to pay my electricity bill.
PHX-1013,2025-11-08 00:00:00,Transfer,Customer support hasn't responded to my ticket for 3 days.
PHX-1014,2025-11-04 00:00:00,General Feedback,Double debit on my Netflix subscription. Please refund.
PHX-1015,2025-10-22 00:00:00,Airtime/Data,Double debit on my Netflix subscription. Please refund.
PHX-1016,2025-09-06 00:00:00,Airtime/Data,Double debit on my Netflix subscription. Please refund.
PHX-1017,2025-10-08 00:00:00,Bill Payment,"Great interface, but the OTP takes too long to arrive."
PHX-1018,2025-09-29 00:00:00,General Feedback,The app keeps crashing when I try to pay my electricity bill.
PHX-1019,2025-11-03 00:00:00,Transfer,"Great interface, but the OTP takes too long to arrive."
PHX-1020,2025-09-02 00:00:00,Airtime/Data,"I love the new UI update, very smooth."
PHX-1021,2025-10-16 00:00:00,Transfer,My transfer of 5000 to my mom failed but I was debited.
PHX-1022,2025-11-05 00:00:00,Airtime/Data,Transaction failed but my balance was deducted. This is frustrating.
PHX-1023,2025-08-28 00:00:00,Account Issue,Customer support hasn't responded to my ticket for 3 days.
PHX-1024,2025-10-05 00:00:00,Bill Payment,My transfer of 5000 to my mom failed but I was debited.
PHX-1025,2025-09-05 00:00:00,Bill Payment,"Fast and reliable service, thank you Phlex!"
PHX-1026,2025-09-13 00:00:00,Bill Payment,"Fast and reliable service, thank you Phlex!"
PHX-1027,2025-08-15 00:00:00,Bill Payment,The app keeps crashing when I try to pay my electricity bill.
PHX-1028,2025-08-16 00:00:00,Account Issue,My transfer of 5000 to my mom failed but I was debited.
PHX-1029,2025-09-25 00:00:00,Bill Payment,Why is my account restricted? I need access to my funds now!
PHX-1030,2025-10-04 00:00:00,Airtime/Data,I haven't received the airtime I purchased since yesterday.
PHX-1031,2025-09-15 00:00:00,Transfer,"Great interface, but the OTP takes too long to arrive."
PHX-1032,2025-09-14 00:00:00,General Feedback,"Fast and reliable service, thank you Phlex!"
PHX-1033,2025-10-13 00:00:00,Bill Payment,I haven't received the airtime I purchased since yesterday.
PHX-1034,2025-09-04 00:00:00,General Feedback,My transfer of 5000 to my mom failed but I was debited.
PHX-1035,2025-10-22 00:00:00,Airtime/Data,Why is my account restricted? I need access to my funds now!
PHX-1036,2025-11-06 00:00:00,Account Issue,Why is my account restricted? I need access to my funds now!
PHX-1037,2025-11-04 00:00:00,Transfer,Transaction failed but my balance was deducted. This is frustrating.
PHX-1038,2025-11-04 00:00:00,Bill Payment,Double debit on my Netflix subscription. Please refund.
PHX-1039,2025-08-16 00:00:00,General Feedback,"I love the new UI update, very smooth."
PHX-1040,2025-10-12 00:00:00,Bill Payment,"I love the new UI update, very smooth."
PHX-1041,2025-10-24 00:00:00,Transfer,"Great interface, but the OTP takes too long to arrive."
PHX-1042,2025-10-10 00:00:00,Bill Payment,"Fast and reliable service, thank you Phlex!"
PHX-1043,2025-09-17 00:00:00,Bill Payment,I haven't received the airtime I purchased since yesterday.
PHX-1044,2025-10-10 00:00:00,Bill Payment,Customer support hasn't responded to my ticket for 3 days.
PHX-1045,2025-09-06 00:00:00,Bill Payment,My transfer of 5000 to my mom failed but I was debited.
PHX-1046,2025-08-28 00:00:00,Airtime/Data,The app keeps crashing when I try to pay my electricity bill.
PHX-1047,2025-10-23 00:00:00,Transfer,Transaction failed but my balance was deducted. This is frustrating.
PHX-1048,2025-11-10 00:00:00,Account Issue,"Great interface, but the OTP takes too long to arrive."
PHX-1049,2025-10-17 00:00:00,Transfer,Customer support hasn't responded to my ticket for 3 days.
PHX-1050,2025-10-13 00:00:00,General Feedback,Why is my account restricted? I need access to my funds now!
PHX-1051,2025-10-19 00:00:00,Account Issue,I haven't received the airtime I purchased since yesterday.
PHX-1052,2025-09-13 00:00:00,Account Issue,I haven't received the airtime I purchased since yesterday.
PHX-1053,2025-09-09 00:00:00,General Feedback,"Great interface, but the OTP takes too long to arrive."
PHX-1054,2025-10-03 00:00:00,General Feedback,"Great interface, but the OTP takes too long to arrive."
PHX-1055,2025-10-18 00:00:00,Airtime/Data,The app keeps crashing when I try to pay my electricity bill.
PHX-1056,2025-08-29 00:00:00,General Feedback,"I love the new UI update, very smooth."
PHX-1057,2025-08-23 00:00:00,Bill Payment,The app keeps crashing when I try to pay my electricity bill.
PHX-1058,2025-10-19 00:00:00,General Feedback,Why is my account restricted? I need access to my funds now!
PHX-1059,2025-11-02 00:00:00,Transfer,Double debit on my Netflix subscription. Please refund.
PHX-1060,2025-09-22 00:00:00,Bill Payment,The app keeps crashing when I try to pay my electricity bill.
PHX-1061,2025-10-17 00:00:00,Transfer,My transfer of 5000 to my mom failed but I was debited.
PHX-1062,2025-10-31 00:00:00,Bill Payment,Why is my account restricted? I need access to my funds now!
PHX-1063,2025-08-31 00:00:00,Airtime/Data,Customer support hasn't responded to my ticket for 3 days.
PHX-1064,2025-10-29 00:00:00,General Feedback,"Great interface, but the OTP takes too long to arrive."
PHX-1065,2025-08-21 00:00:00,General Feedback,Why is my account restricted? I need access to my funds now!
PHX-1066,2025-11-10 00:00:00,Airtime/Data,Why is my account restricted? I need access to my funds now!
PHX-1067,2025-08-20 00:00:00,Airtime/Data,The app keeps crashing when I try to pay my electricity bill.
PHX-1068,2025-10-12 00:00:00,Airtime/Data,My transfer of 5000 to my mom failed but I was debited.
PHX-1069,2025-10-02 00:00:00,Airtime/Data,"I love the new UI update, very smooth."
PHX-1070,2025-08-13 00:00:00,Transfer,I haven't received the airtime I purchased since yesterday.
PHX-1071,2025-09-22 00:00:00,Bill Payment,"Fast and reliable service, thank you Phlex!"
PHX-1072,2025-11-11 00:00:00,Bill Payment,The app keeps crashing when I try to pay my electricity bill.
PHX-1073,2025-10-24 00:00:00,Transfer,I haven't received the airtime I purchased since yesterday.
PHX-1074,2025-09-09 00:00:00,Account Issue,"Great interface, but the OTP takes too long to arrive."
PHX-1075,2025-08-21 00:00:00,Account Issue,"I love the new UI update, very smooth."
PHX-1076,2025-11-08 00:00:00,Bill Payment,"Great interface, but the OTP takes too long to arrive."
PHX-1077,2025-10-20 00:00:00,Transfer,Why is my account restricted? I need access to my funds now!
PHX-1078,2025-11-11 00:00:00,Bill Payment,"Fast and reliable service, thank you Phlex!"
PHX-1079,2025-11-07 00:00:00,Transfer,Customer support hasn't responded to my ticket for 3 days.
PHX-1080,2025-10-10 00:00:00,General Feedback,I haven't received the airtime I purchased since yesterday.
PHX-1081,2025-09-07 00:00:00,General Feedback,"Fast and reliable service, thank you Phlex!"
PHX-1082,2025-10-05 00:00:00,General Feedback,I haven't received the airtime I purchased since yesterday.
PHX-1083,2025-08-16 00:00:00,Transfer,I haven't received the airtime I purchased since yesterday.
PHX-1084,2025-08-29 00:00:00,Transfer,My transfer of 5000 to my mom failed but I was debited.
PHX-1085,2025-08-16 00:00:00,Transfer,I haven't received the airtime I purchased since yesterday.
PHX-1086,2025-10-01 00:00:00,Transfer,Double debit on my Netflix subscription. Please refund.
PHX-1087,2025-09-22 00:00:00,Bill Payment,Transaction failed but my balance was deducted. This is frustrating.
PHX-1088,2025-10-22 00:00:00,Airtime/Data,"Great interface, but the OTP takes too long to arrive."
PHX-1089,2025-10-29 00:00:00,Airtime/Data,Why is my account restricted? I need access to my funds now!
PHX-1090,2025-09-06 00:00:00,Transfer,"Great interface, but the OTP takes too long to arrive."
PHX-1091,2025-09-14 00:00:00,Airtime/Data,Customer support hasn't responded to my ticket for 3 days.
PHX-1092,2025-08-27 00:00:00,Bill Payment,Double debit on my Netflix subscription. Please refund.
PHX-1093,2025-10-12 00:00:00,Transfer,Customer support hasn't responded to my ticket for 3 days.
PHX-1094,2025-10-05 00:00:00,Account Issue,"Fast and reliable service, thank you Phlex!"
PHX-1095,2025-09-11 00:00:00,Account Issue,I haven't received the airtime I purchased since yesterday.
PHX-1096,2025-10-10 00:00:00,Airtime/Data,Double debit on my Netflix subscription. Please refund.
PHX-1097,2025-08-28 00:00:00,Transfer,"Fast and reliable service, thank you Phlex!"
PHX-1098,2025-08-16 00:00:00,Airtime/Data,My transfer of 5000 to my mom failed but I was debited.
PHX-1099,2025-10-04 00:00:00,General Feedback,"Fast and reliable service, thank you Phlex!"
PHX-1100,2025-08-23 00:00:00,Transfer,"Great interface, but the OTP takes too long to arrive."
PHX-1101,2025-09-10 00:00:00,Airtime/Data,The app keeps crashing when I try to pay my electricity bill.
PHX-1102,2025-10-08 00:00:00,Transfer,"I love the new UI update, very smooth."
PHX-1103,2025-11-08 00:00:00,Transfer,Transaction failed but my balance was deducted. This is frustrating.
PHX-1104,2025-08-28 00:00:00,Bill Payment,The app keeps crashing when I try to pay my electricity bill.
PHX-1105,2025-08-20 00:00:00,Transfer,My transfer of 5000 to my mom failed but I was debited.
PHX-1106,2025-11-07 00:00:00,Airtime/Data,"I love the new UI update, very smooth."
PHX-1107,2025-10-03 00:00:00,Account Issue,"Great interface, but the OTP takes too long to arrive."
PHX-1108,2025-08-13 00:00:00,Bill Payment,I haven't received the airtime I purchased since yesterday.
PHX-1109,2025-11-04 00:00:00,General Feedback,Customer support hasn't responded to my ticket for 3 days.
PHX-1110,2025-09-22 00:00:00,Transfer,"Fast and reliable service, thank you Phlex!"
PHX-1111,2025-11-03 00:00:00,Account Issue,I haven't received the airtime I purchased since yesterday.
PHX-1112,2025-10-28 00:00:00,Transfer,Double debit on my Netflix subscription. Please refund.
PHX-1113,2025-11-01 00:00:00,General Feedback,"Fast and reliable service, thank you Phlex!"
PHX-1114,2025-10-07 00:00:00,Account Issue,Transaction failed but my balance was deducted. This is frustrating.
PHX-1115,2025-10-29 00:00:00,Airtime/Data,"I love the new UI update, very smooth."
PHX-1116,2025-09-12 00:00:00,Bill Payment,"I love the new UI update, very smooth."
PHX-1117,2025-10-16 00:00:00,Bill Payment,"I love the new UI update, very smooth."
PHX-1118,2025-09-30 00:00:00,Bill Payment,"Fast and reliable service, thank you Phlex!"
PHX-1119,2025-09-29 00:00:00,Account Issue,Transaction failed but my balance was deducted. This is frustrating.
PHX-1120,2025-08-19 00:00:00,Transfer,"Fast and reliable service, thank you Phlex!"
PHX-1121,2025-10-03 00:00:00,Account Issue,I haven't received the airtime I purchased since yesterday.
PHX-1122,2025-10-24 00:00:00,Bill Payment,"I love the new UI update, very smooth."
PHX-1123,2025-08-20 00:00:00,Bill Payment,I haven't received the airtime I purchased since yesterday.
PHX-1124,2025-10-15 00:00:00,Airtime/Data,I haven't received the airtime I purchased since yesterday.
PHX-1125,2025-09-12 00:00:00,Airtime/Data,"I love the new UI update, very smooth."
PHX-1126,2025-10-30 00:00:00,Bill Payment,My transfer of 5000 to my mom failed but I was debited.
PHX-1127,2025-08-26 00:00:00,General Feedback,"Fast and reliable service, thank you Phlex!"
PHX-1128,2025-08-17 00:00:00,Transfer,Customer support hasn't responded to my ticket for 3 days.
PHX-1129,2025-08-14 00:00:00,Account Issue,Customer support hasn't responded to my ticket for 3 days.
PHX-1130,2025-11-09 00:00:00,General Feedback,"Fast and reliable service, thank you Phlex!"
PHX-1131,2025-09-03 00:00:00,Bill Payment,"Great interface, but the OTP takes too long to arrive."
PHX-1132,2025-08-23 00:00:00,Account Issue,Why is my account restricted? I need access to my funds now!
PHX-1133,2025-10-09 00:00:00,Account Issue,Double debit on my Netflix subscription. Please refund.
PHX-1134,2025-10-15 00:00:00,Account Issue,"I love the new UI update, very smooth."
PHX-1135,2025-11-08 00:00:00,Bill Payment,Double debit on my Netflix subscription. Please refund.
PHX-1136,2025-09-11 00:00:00,Transfer,I haven't received the airtime I purchased since yesterday.
PHX-1137,2025-10-29 00:00:00,Account Issue,"Fast and reliable service, thank you Phlex!"
PHX-1138,2025-08-15 00:00:00,Airtime/Data,"Great interface, but the OTP takes too long to arrive."
PHX-1139,2025-11-02 00:00:00,Bill Payment,My transfer of 5000 to my mom failed but I was debited.
PHX-1140,2025-09-06 00:00:00,General Feedback,Double debit on my Netflix subscription. Please refund.
PHX-1141,2025-08-13 00:00:00,Bill Payment,Double debit on my Netflix subscription. Please refund.
PHX-1142,2025-09-14 00:00:00,Bill Payment,Transaction failed but my balance was deducted. This is frustrating.
PHX-1143,2025-10-06 00:00:00,Account Issue,Transaction failed but my balance was deducted. This is frustrating.
PHX-1144,2025-10-30 00:00:00,Account Issue,The app keeps crashing when I try to pay my electricity bill.
PHX-1145,2025-08-25 00:00:00,Transfer,Transaction failed but my balance was deducted. This is frustrating.
PHX-1146,2025-08-14 00:00:00,Bill Payment,The app keeps crashing when I try to pay my electricity bill.
PHX-1147,2025-09-12 00:00:00,General Feedback,The app keeps crashing when I try to pay my electricity bill.
PHX-1148,2025-09-27 00:00:00,General Feedback,"Great interface, but the OTP takes too long to arrive."
PHX-1149,2025-10-04 00:00:00,General Feedback,My transfer of 5000 to my mom failed but I was debited.
PHX-1150,2025-08-17 00:00:00,General Feedback,Why is my account restricted? I need access to my funds now!
PHX-1151,2025-10-02 00:00:00,Bill Payment,"I love the new UI update, very smooth."
PHX-1152,2025-10-19 00:00:00,Transfer,"Fast and reliable service, thank you Phlex!"
PHX-1153,2025-11-01 00:00:00,General Feedback,My transfer of 5000 to my mom failed but I was debited.
PHX-1154,2025-10-08 00:00:00,Transfer,I haven't received the airtime I purchased since yesterday.
PHX-1155,2025-11-04 00:00:00,Bill Payment,"Great interface, but the OTP takes too long to arrive."
PHX-1156,2025-09-21 00:00:00,Transfer,"Great interface, but the OTP takes too long to arrive."
PHX-1157,2025-09-03 00:00:00,Airtime/Data,Transaction failed but my balance was deducted. This is frustrating.
PHX-1158,2025-11-08 00:00:00,Bill Payment,Why is my account restricted? I need access to my funds now!
PHX-1159,2025-08-13 00:00:00,Transfer,Customer support hasn't responded to my ticket for 3 days.
PHX-1160,2025-09-05 00:00:00,Transfer,"I love the new UI update, very smooth."
PHX-1161,2025-10-06 00:00:00,General Feedback,I haven't received the airtime I purchased since yesterday.
PHX-1162,2025-09-14 00:00:00,Bill Payment,"Fast and reliable service, thank you Phlex!"
PHX-1163,2025-09-08 00:00:00,Airtime/Data,"I love the new UI update, very smooth."
PHX-1164,2025-10-11 00:00:00,Transfer,Why is my account restricted? I need access to my funds now!
PHX-1165,2025-09-03 00:00:00,Airtime/Data,"Fast and reliable service, thank you Phlex!"
PHX-1166,2025-08-24 00:00:00,General Feedback,"Fast and reliable service, thank you Phlex!"
PHX-1167,2025-08-31 00:00:00,Transfer,The app keeps crashing when I try to pay my electricity bill.
PHX-1168,2025-08-19 00:00:00,Airtime/Data,"Fast and reliable service, thank you Phlex!"
PHX-1169,2025-08-28 00:00:00,Account Issue,Customer support hasn't responded to my ticket for 3 days.
PHX-1170,2025-09-03 00:00:00,Account Issue,I haven't received the airtime I purchased since yesterday.
PHX-1171,2025-09-16 00:00:00,Transfer,"Great interface, but the OTP takes too long to arrive."
PHX-1172,2025-09-13 00:00:00,Airtime/Data,The app keeps crashing when I try to pay my electricity bill.
PHX-1173,2025-10-23 00:00:00,General Feedback,"Great interface, but the OTP takes too long to arrive."
PHX-1174,2025-11-09 00:00:00,General Feedback,Customer support hasn't responded to my ticket for 3 days.
PHX-1175,2025-11-11 00:00:00,Airtime/Data,Why is my account restricted? I need access to my funds now!
PHX-1176,2025-11-01 00:00:00,Bill Payment,"I love the new UI update, very smooth."
PHX-1177,2025-10-11 00:00:00,Airtime/Data,"Great interface, but the OTP takes too long to arrive."
PHX-1178,2025-10-13 00:00:00,Airtime/Data,My transfer of 5000 to my mom failed but I was debited.
PHX-1179,2025-10-17 00:00:00,Bill Payment,"I love the new UI update, very smooth."
PHX-1180,2025-10-05 00:00:00,Account Issue,Transaction failed but my balance was deducted. This is frustrating.
PHX-1181,2025-08-17 00:00:00,Account Issue,"Great interface, but the OTP takes too long to arrive."
PHX-1182,2025-10-16 00:00:00,Account Issue,I haven't received the airtime I purchased since yesterday.
PHX-1183,2025-10-29 00:00:00,Airtime/Data,"Great interface, but the OTP takes too long to arrive."
PHX-1184,2025-10-01 00:00:00,Account Issue,Transaction failed but my balance was deducted. This is frustrating.
PHX-1185,2025-08-26 00:00:00,Bill Payment,"Fast and reliable service, thank you Phlex!"
PHX-1186,2025-10-17 00:00:00,Account Issue,"Fast and reliable service, thank you Phlex!"
PHX-1187,2025-08-30 00:00:00,Account Issue,Transaction failed but my balance was deducted. This is frustrating.
PHX-1188,2025-08-22 00:00:00,Bill Payment,Customer support hasn't responded to my ticket for 3 days.
PHX-1189,2025-09-22 00:00:00,Transfer,My transfer of 5000 to my mom failed but I was debited.
PHX-1190,2025-09-09 00:00:00,Airtime/Data,My transfer of 5000 to my mom failed but I was debited.
PHX-1191,2025-09-28 00:00:00,Account Issue,"Great interface, but the OTP takes too long to arrive."
PHX-1192,2025-10-12 00:00:00,Airtime/Data,"Fast and reliable service, thank you Phlex!"
PHX-1193,2025-10-16 00:00:00,Airtime/Data,"I love the new UI update, very smooth."
PHX-1194,2025-10-29 00:00:00,Transfer,"Fast and reliable service, thank you Phlex!"
PHX-1195,2025-08-29 00:00:00,Transfer,"I love the new UI update, very smooth."
PHX-1196,2025-09-02 00:00:00,Bill Payment,The app keeps crashing when I try to pay my electricity bill.
PHX-1197,2025-08-23 00:00:00,Airtime/Data,Double debit on my Netflix subscription. Please refund.
PHX-1198,2025-09-19 00:00:00,General Feedback,Why is my account restricted? I need access to my funds now!
PHX-1199,2025-09-26 00:00:00,Bill Payment,Double debit on my Netflix subscription. Please refund.
PHX-1200,2025-08-18 00:00:00,Transfer,I haven't received the airtime I purchased since yesterday.
PHX-1201,2025-10-15 00:00:00,Transfer,Double debit on my Netflix subscription. Please refund.
PHX-1202,2025-11-03 00:00:00,General Feedback,The app keeps crashing when I try to pay my electricity bill.
